id,created_at,value,purchase_id,year-month
1,2019-01-01 00:00:00,172692,43,2019-01
2,2019-01-05 00:00:00,177194,36,2019-01
3,2019-01-09 00:00:00,109513,30,2019-01
4,2019-01-13 00:00:00,164911,30,2019-01
5,2019-01-17 00:00:00,198872,39,2019-01
6,2019-01-21 00:00:00,184853,31,2019-01
7,2019-01-25 00:00:00,186817,26,2019-01
8,2019-01-29 00:00:00,137784,22,2019-01
9,2019-02-02 00:00:00,140032,25,2019-02
10,2019-02-06 00:00:00,116948,43,2019-02
11,2019-02-10 00:00:00,162515,25,2019-02
12,2019-02-14 00:00:00,114256,12,2019-02
13,2019-02-18 00:00:00,197465,48,2019-02
14,2019-02-22 00:00:00,120741,20,2019-02
15,2019-02-26 00:00:00,100074,49,2019-02
16,2019-03-02 00:00:00,157548,19,2019-03
17,2019-03-06 00:00:00,105506,16,2019-03
18,2019-03-10 00:00:00,189351,46,2019-03
19,2019-03-14 00:00:00,191231,29,2019-03
20,2019-03-18 00:00:00,120575,44,2019-03
21,2019-03-22 00:00:00,151688,47,2019-03
22,2019-03-26 00:00:00,102327,18,2019-03
23,2019-03-30 00:00:00,156147,25,2019-03
24,2019-04-03 00:00:00,192530,36,2019-04
25,2019-04-07 00:00:00,154765,42,2019-04
26,2019-04-11 00:00:00,113336,12,2019-04
27,2019-04-15 00:00:00,129073,50,2019-04
28,2019-04-19 00:00:00,123477,21,2019-04
29,2019-04-23 00:00:00,182142,31,2019-04
30,2019-04-27 00:00:00,116546,39,2019-04
31,2019-05-01 00:00:00,174748,26,2019-05
32,2019-05-05 00:00:00,155693,42,2019-05
33,2019-05-09 00:00:00,103012,25,2019-05
34,2019-05-13 00:00:00,187960,33,2019-05
35,2019-05-17 00:00:00,101202,18,2019-05
36,2019-05-21 00:00:00,112522,10,2019-05
37,2019-05-25 00:00:00,195969,37,2019-05
38,2019-05-29 00:00:00,117284,40,2019-05
39,2019-06-02 00:00:00,112956,36,2019-06
40,2019-06-06 00:00:00,174157,29,2019-06
41,2019-06-10 00:00:00,125975,45,2019-06
42,2019-06-14 00:00:00,110340,29,2019-06
43,2019-06-18 00:00:00,143066,31,2019-06
44,2019-06-22 00:00:00,153270,11,2019-06
45,2019-06-26 00:00:00,139635,29,2019-06
46,2019-06-30 00:00:00,157071,35,2019-06
47,2019-07-04 00:00:00,166552,18,2019-07
48,2019-07-08 00:00:00,197587,34,2019-07
49,2019-07-12 00:00:00,103958,37,2019-07
50,2019-07-16 00:00:00,111305,28,2019-07
51,2019-07-20 00:00:00,190266,39,2019-07
52,2019-07-24 00:00:00,116060,44,2019-07
53,2019-07-28 00:00:00,163802,48,2019-07
54,2019-08-01 00:00:00,188558,21,2019-08
55,2019-08-05 00:00:00,166528,49,2019-08
56,2019-08-09 00:00:00,141463,28,2019-08
57,2019-08-13 00:00:00,120110,34,2019-08
58,2019-08-17 00:00:00,159368,12,2019-08
59,2019-08-21 00:00:00,184900,46,2019-08
60,2019-08-25 00:00:00,190372,38,2019-08
61,2019-08-29 00:00:00,195877,15,2019-08
62,2019-09-02 00:00:00,143221,21,2019-09
63,2019-09-06 00:00:00,160413,41,2019-09
64,2019-09-10 00:00:00,183919,43,2019-09
65,2019-09-14 00:00:00,134535,34,2019-09
66,2019-09-18 00:00:00,188646,31,2019-09
67,2019-09-22 00:00:00,122706,27,2019-09
68,2019-09-26 00:00:00,160016,21,2019-09
69,2019-09-30 00:00:00,186777,21,2019-09
70,2019-10-04 00:00:00,165442,50,2019-10
71,2019-10-08 00:00:00,172445,43,2019-10
72,2019-10-12 00:00:00,167910,21,2019-10
73,2019-10-16 00:00:00,116646,35,2019-10
74,2019-10-20 00:00:00,163287,15,2019-10
75,2019-10-24 00:00:00,187293,43,2019-10
76,2019-10-28 00:00:00,144823,11,2019-10
77,2019-11-01 00:00:00,118317,10,2019-11
78,2019-11-05 00:00:00,166105,38,2019-11
79,2019-11-09 00:00:00,121128,11,2019-11
80,2019-11-13 00:00:00,177355,38,2019-11
81,2019-11-17 00:00:00,176442,50,2019-11
82,2019-11-21 00:00:00,129837,10,2019-11
83,2019-11-25 00:00:00,122363,38,2019-11
84,2019-11-29 00:00:00,125469,10,2019-11
85,2019-12-03 00:00:00,109657,20,2019-12
86,2019-12-07 00:00:00,108782,35,2019-12
87,2019-12-11 00:00:00,149235,18,2019-12
88,2019-12-15 00:00:00,187243,36,2019-12
89,2019-12-19 00:00:00,152538,20,2019-12
90,2019-12-23 00:00:00,178861,34,2019-12
91,2019-12-27 00:00:00,122675,30,2019-12
92,2019-12-31 00:00:00,104037,18,2019-12
